"Date","Text","Message JSON","Intent","Incoming"
"2019-12-12T02:31:28.257Z",,"{""userId"":""24ad6298-d4b5-4320-a5a8-dae94a078eac""}",,true
"2019-12-12T02:31:28.255Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""24ad6298-d4b5-4320-a5a8-dae94a078eac"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""24ad6298-d4b5-4320-a5a8-dae94a078eac""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""fe2cdbf7-d8bc-4947-bac7-5a6630d4c085""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-12T02:32:03.432Z",,"{""userId"":""24ad6298-d4b5-4320-a5a8-dae94a078eac""}",,true
"2019-12-12T02:32:03.449Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""24ad6298-d4b5-4320-a5a8-dae94a078eac"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""24ad6298-d4b5-4320-a5a8-dae94a078eac""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""db2f57c5-dcd8-4f68-a258-819b9d596c2e""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-12T02:35:45.198Z","Consent","{""userId"":""24ad6298-d4b5-4320-a5a8-dae94a078eac"",""text"":""Consent""}",,true
"2019-12-12T02:35:45.198Z","The FIRST thing you need to know when it comes to sex is CONSENT. Before you do anything, you need to make sure both you and YOUR PARTNER agree to whatever’s about to go down. That’s consent. It doesn’t matter if it’s head, sex, kissing, or even grinding, you need to get consent. And it doesn’t have to be complicated.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""The FIRST thing you need to know when it comes to sex is CONSENT. Before you do anything, you need to make sure both you and YOUR PARTNER agree to whatever’s about to go down. That’s consent. It doesn’t matter if it’s head, sex, kissing, or even grinding, you need to get consent. And it doesn’t have to be complicated.""},{""response_type"":""text"",""text"":""Before you get started just ask, “Do you want to do this?” If the answer is no, that’s it. NO. And if YOUR answer is no, you need to say that. Don’t ever feel pressured to do anything you don’t want. Get up and leave if you have to. It’s YOUR body, your choice. ""},{""response_type"":""text"",""text"":""Want more info about consent? <a target =\""_blank\"" href=\"" https://laylasgotyou.com/layla-blog/2019/6/27/the-big-c-word-consent\"">Check out this blog.</a>""}],""nodes_visited"":[""node_16_1535653035198"",""node_47_1542651998861"",""node_3_1576096720852""],""text"":[""The FIRST thing you need to know when it comes to sex is CONSENT. Before you do anything, you need to make sure both you and YOUR PARTNER agree to whatever’s about to go down. That’s consent. It doesn’t matter if it’s head, sex, kissing, or even grinding, you need to get consent. And it doesn’t have to be complicated."",""Before you get started just ask, “Do you want to do this?” If the answer is no, that’s it. NO. And if YOUR answer is no, you need to say that. Don’t ever feel pressured to do anything you don’t want. Get up and leave if you have to. It’s YOUR body, your choice. "",""Want more info about consent? <a target =\""_blank\"" href=\"" https://laylasgotyou.com/layla-blog/2019/6/27/the-big-c-word-consent\"">Check out this blog.</a>""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""24ad6298-d4b5-4320-a5a8-dae94a078eac""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_47_1542651998861"":{""0"":[0],""1"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]},""node_4_1541090288675"":{""0"":[0]},""node_3_1576096720852"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""db2f57c5-dcd8-4f68-a258-819b9d596c2e""},""input"":{""text"":""Consent""},""intents"":[{""intent"":""def_consent"",""confidence"":0.9611853122711183}],""alternate_intents"":false},""text"":""The FIRST thing you need to know when it comes to sex is CONSENT. Before you do anything, you need to make sure both you and YOUR PARTNER agree to whatever’s about to go down. That’s consent. It doesn’t matter if it’s head, sex, kissing, or even grinding, you need to get consent. And it doesn’t have to be complicated."",""userId"":""24ad6298-d4b5-4320-a5a8-dae94a078eac"",""intent"":{""name"":""def_consent""}}","def_consent",false
