"Date","Text","Message JSON","Intent","Incoming"
"2019-12-18T17:19:34.704Z",,"{""userId"":""38e06fda-5a15-49a9-ba8f-eb61e123b4d4""}",,true
"2019-12-18T17:19:34.701Z","<div class=""avatar-container""><img src=""https://laylasgotyou.com/assets/images/layla-avatar.png"" alt=""layla"" /></div>","{""userId"":""38e06fda-5a15-49a9-ba8f-eb61e123b4d4"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""},{""typing"":true,""response_type"":""pause"",""time"":1500},{""response_type"":""text"",""text"":""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""}],""nodes_visited"":[""Welcome"",""node_2_1541089898852""],""text"":[""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>"",""Hey girl! I’m Layla. Consider me your new best friend with all the deets about those uncomfortable topics like birth control, sex, and STDs. You know, the stuff you’re not exactly running home to talk to mom about. Ask me anything you want and I promise, it stays between me and you. Have any questions for me? I’m listening!""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""38e06fda-5a15-49a9-ba8f-eb61e123b4d4""},""system"":{""dialog_request_counter"":1,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":1,""_node_output_map"":{""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""649e24d7-ac25-4bb8-9f80-d6f7092fdcbb""},""alternate_intents"":false},""text"":""<div class=\""avatar-container\""><img src=\""https://laylasgotyou.com/assets/images/layla-avatar.png\"" alt=\""layla\"" /></div>""}",,false
"2019-12-18T17:20:10.077Z","Why is masturbation consdiered evil?","{""userId"":""38e06fda-5a15-49a9-ba8f-eb61e123b4d4"",""text"":""Why is masturbation consdiered evil?""}",,true
"2019-12-18T17:20:10.062Z","You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable.""}],""nodes_visited"":[""node_2_1556809489992""],""text"":[""You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""38e06fda-5a15-49a9-ba8f-eb61e123b4d4""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""node_2_1556809489992"":{""0"":[0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""649e24d7-ac25-4bb8-9f80-d6f7092fdcbb""},""input"":{""text"":""Why is masturbation consdiered evil?""},""intents"":[{""intent"":""Masturbation"",""confidence"":0.9120757102966308}],""alternate_intents"":false},""text"":""You've probably heard about masturbation - touching yourself for sexual pleasure. Almost everybody masturbates. But we don't talk about it because it makes people feel uncomfortable. It's totally normal for both boys AND girls to masturbate at any age. And some people don't masturbate at all. Do whatever makes YOU feel comfortable."",""userId"":""38e06fda-5a15-49a9-ba8f-eb61e123b4d4"",""intent"":{""name"":""Masturbation""}}","Masturbation",false
"2019-12-18T17:20:39.266Z","Does oral sex count as real sex?","{""userId"":""38e06fda-5a15-49a9-ba8f-eb61e123b4d4"",""text"":""Does oral sex count as real sex?""}",,true
"2019-12-18T17:20:39.266Z","Sex is personal. Only you can decide what you want to do, are open to, and what you don’t want to do. If you aren’t ready for sex but, are fine with kissing or head, cool. If not, that’s cool too. Your body, your choice.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""Sex is personal. Only you can decide what you want to do, are open to, and what you don’t want to do. If you aren’t ready for sex but, are fine with kissing or head, cool. If not, that’s cool too. Your body, your choice.""}],""nodes_visited"":[""node_4_1536088095360"",""node_73_1542678887510""],""text"":[""Sex is personal. Only you can decide what you want to do, are open to, and what you don’t want to do. If you aren’t ready for sex but, are fine with kissing or head, cool. If not, that’s cool too. Your body, your choice.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""38e06fda-5a15-49a9-ba8f-eb61e123b4d4""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""node_2_1556809489992"":{""0"":[0]},""node_73_1542678887510"":{""0"":[0,0]},""node_2_1541089898852"":{""0"":[0],""2"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""649e24d7-ac25-4bb8-9f80-d6f7092fdcbb""},""input"":{""text"":""Does oral sex count as real sex?""},""intents"":[{""intent"":""Abstinence.includes.what"",""confidence"":0.9158206462860108}],""entities"":[{""location"":[5,13],""value"":""Oral Sex"",""entity"":""Sex"",""confidence"":1},{""location"":[28,31],""value"":""sex"",""entity"":""Sex"",""confidence"":1}],""alternate_intents"":false},""text"":""Sex is personal. Only you can decide what you want to do, are open to, and what you don’t want to do. If you aren’t ready for sex but, are fine with kissing or head, cool. If not, that’s cool too. Your body, your choice."",""userId"":""38e06fda-5a15-49a9-ba8f-eb61e123b4d4"",""intent"":{""name"":""Abstinence.includes.what"",""inputs"":[{""name"":""Sex"",""value"":""Oral Sex""},{""name"":""Sex"",""value"":""sex""}]}}","Abstinence.includes.what",false
