"Date","Text","Message JSON","Intent","Incoming"
"2020-02-20T16:00:22.733Z","what is a female condom?","{""userId"":""06329795-7014-4729-a3ce-fe1fdd6b9fbf"",""text"":""what is a female condom?""}",,true
"2020-02-20T16:00:22.733Z","A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.""}],""nodes_visited"":[""node_41_1535404605625""],""text"":[""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""06329795-7014-4729-a3ce-fe1fdd6b9fbf""},""system"":{""dialog_request_counter"":2,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":2,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,0,1,2]},""node_41_1535404605625"":{""0"":[0]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2a369fa9-83c5-45f5-a08d-96234c290b65""},""input"":{""text"":""what is a female condom?""},""intents"":[{""intent"":""def_condom.female"",""confidence"":0.9086636066436768}],""entities"":[{""location"":[10,16],""value"":""Female"",""entity"":""Gender"",""confidence"":1},{""location"":[17,23],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom."",""userId"":""06329795-7014-4729-a3ce-fe1fdd6b9fbf"",""intent"":{""name"":""def_condom.female"",""inputs"":[{""name"":""Gender"",""value"":""Female""},{""name"":""Birth_Control"",""value"":""condom""}]}}","def_condom.female",false
"2020-02-20T16:00:38.720Z","how much are they?","{""userId"":""06329795-7014-4729-a3ce-fe1fdd6b9fbf"",""text"":""how much are they?""}",,true
"2020-02-20T16:00:38.680Z","I didn't understand - can you try rewording? ","{""userId"":""06329795-7014-4729-a3ce-fe1fdd6b9fbf"",""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""I didn't understand - can you try rewording? ""}],""nodes_visited"":[""node_2_1540920316188""],""text"":[""I didn't understand - can you try rewording? ""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""06329795-7014-4729-a3ce-fe1fdd6b9fbf""},""system"":{""dialog_request_counter"":3,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":3,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,0,1,2]},""node_41_1535404605625"":{""0"":[0]},""node_2_1540920316188"":{""0"":[0,2,3,5,0,1,4]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2a369fa9-83c5-45f5-a08d-96234c290b65""},""input"":{""text"":""how much are they?""},""alternate_intents"":false},""text"":""I didn't understand - can you try rewording? ""}",,false
"2020-02-20T16:00:45.132Z","how much are female condoms?","{""userId"":""06329795-7014-4729-a3ce-fe1fdd6b9fbf"",""text"":""how much are female condoms?""}",,true
"2020-02-20T16:00:45.149Z","A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.""}],""nodes_visited"":[""node_41_1535404605625""],""text"":[""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""06329795-7014-4729-a3ce-fe1fdd6b9fbf""},""system"":{""dialog_request_counter"":4,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":4,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,0,1,2]},""node_41_1535404605625"":{""0"":[0]},""node_2_1540920316188"":{""0"":[0,2,3,5,0,1,4]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2a369fa9-83c5-45f5-a08d-96234c290b65""},""input"":{""text"":""how much are female condoms?""},""intents"":[{""intent"":""def_condom.female"",""confidence"":0.744581651687622}],""entities"":[{""location"":[13,19],""value"":""Female"",""entity"":""Gender"",""confidence"":1},{""location"":[20,27],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom."",""userId"":""06329795-7014-4729-a3ce-fe1fdd6b9fbf"",""intent"":{""name"":""def_condom.female"",""inputs"":[{""name"":""Gender"",""value"":""Female""},{""name"":""Birth_Control"",""value"":""condom""}]}}","def_condom.female",false
"2020-02-20T16:00:55.468Z","where can I buy a female condom?","{""userId"":""06329795-7014-4729-a3ce-fe1fdd6b9fbf"",""text"":""where can I buy a female condom?""}",,true
"2020-02-20T16:00:55.456Z","A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.","{""payloadJson"":{""output"":{""generic"":[{""response_type"":""text"",""text"":""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.""}],""nodes_visited"":[""node_41_1535404605625""],""text"":[""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom.""]},""context"":{""bot_lang"":""layla"",""metadata"":{""user_id"":""06329795-7014-4729-a3ce-fe1fdd6b9fbf""},""system"":{""dialog_request_counter"":5,""dialog_stack"":[{""dialog_node"":""root""}],""dialog_turn_counter"":5,""_node_output_map"":{""response_2_1580774127498"":{""0"":[0,0,1,2]},""node_41_1535404605625"":{""0"":[0]},""node_2_1540920316188"":{""0"":[0,2,3,5,0,1,4]}},""initialized"":true,""branch_exited"":true,""branch_exited_reason"":""completed""},""bot_mode"":""web"",""conversation_id"":""2a369fa9-83c5-45f5-a08d-96234c290b65""},""input"":{""text"":""where can I buy a female condom?""},""intents"":[{""intent"":""def_condom.female"",""confidence"":0.669205617904663}],""entities"":[{""location"":[18,24],""value"":""Female"",""entity"":""Gender"",""confidence"":1},{""location"":[25,31],""value"":""condom"",""entity"":""Birth_Control"",""confidence"":1}],""alternate_intents"":false},""text"":""A female condom (aka internal condom) is a pouch that you insert into your vagina to block sperm. It kinda looks like a big, floppy condom. And just like a condom, you need to use it every time you have sex. If you use a female condom, make sure you DON'T use a male condom."",""userId"":""06329795-7014-4729-a3ce-fe1fdd6b9fbf"",""intent"":{""name"":""def_condom.female"",""inputs"":[{""name"":""Gender"",""value"":""Female""},{""name"":""Birth_Control"",""value"":""condom""}]}}","def_condom.female",false
